setting,horizon,effective_time,model,train_rows,test_rows,RMSE_state,MAE_state,R2_mean,RMSE_x,MAE_x,R2_x,RMSE_y,MAE_y,R2_y,RMSE_z,MAE_z,R2_z
same_trajectory,1,0.005000500050005001,Persistence,7999,2000,0.5832228809735862,0.49956152395538184,0.998516949323894,0.22070210013022643,0.1790412888150192,0.9991774099426621,0.34593466408322004,0.24342817786983478,0.9984940116245516,0.41444990056081216,0.32812785085981,0.9978794264044684
same_trajectory,1,0.005000500050005001,Linear Regression,7999,2000,0.48028500378212235,0.40679458518065376,0.9990459895895724,0.005923755797024983,0.004726602474070795,0.9999994073956737,0.24281553713975138,0.19380272482311642,0.9992580299068592,0.4143418985557513,0.3304698738308041,0.997880531466184
same_trajectory,1,0.005000500050005001,Random Forest,7999,2000,0.2871673305352324,0.20160457368559656,0.9996363269252698,0.12097413216704898,0.06554645288100153,0.9997528528794981,0.16458383472160157,0.10696309190371915,0.999659115064696,0.201847706009985,0.11730372426006386,0.9994970128316156
same_trajectory,1,0.005000500050005001,MLP,7999,2000,0.22606176364799027,0.19953913030316411,0.999759907303159,0.1374539327108212,0.10505564952598882,0.9996809308140401,0.12199489664125814,0.09711437567704038,0.9998127090546203,0.13163427577746453,0.10211717347267786,0.9997860820408165
same_trajectory,5,0.025002500250025005,Persistence,7996,1999,2.8982926008976553,2.486825276258257,0.9633775631899363,1.096902113588422,0.8913548864702909,0.9796760551274954,1.7156474352215711,1.2098387476459878,0.9629754414803899,2.062391726040665,1.6348732923770577,0.9474811929619236
same_trajectory,5,0.025002500250025005,Linear Regression,7996,1999,2.4394566716734363,2.099570660683958,0.9753419045737582,0.1468018518394753,0.11744490448527593,0.9996359715473075,1.3118609439187223,1.0502273120335344,0.9783524175072768,2.0514431342567647,1.6545594073778753,0.9480373246666903
same_trajectory,5,0.025002500250025005,Random Forest,7996,1999,0.26566763721590647,0.18789989171535662,0.9996905495646479,0.10593488016539294,0.06261386440230728,0.9998104384632059,0.15955376816870803,0.10416049540069504,0.9996797803867371,0.1841186837107861,0.10700469446202444,0.9995814298440007
same_trajectory,5,0.025002500250025005,MLP,7996,1999,0.38090980215908116,0.3303248959918374,0.9993488730674381,0.17952125040790182,0.13594657348211764,0.9994556177068069,0.258235202100033,0.1877358453716837,0.9991611879007803,0.21489294643893941,0.1683898556555376,0.999429813594727
same_trajectory,10,0.05000500050005001,Persistence,7992,1998,5.700976689039049,4.916379870391161,0.8582729977564018,2.1653426784085683,1.7657140367272708,0.9207854046804976,3.355106108863202,2.3833751313098555,0.8584714796097803,4.068868306089282,3.239008251837753,0.7955621089789271
same_trajectory,10,0.05000500050005001,Linear Regression,7992,1998,4.8772422078059785,4.275752116622515,0.9010261858996574,0.5678866495694993,0.45559314191865125,0.9945515213403179,2.765639521473201,2.2176135614158214,0.903833769658443,3.976962954832537,3.258905467350556,0.8046932667002117
same_trajectory,10,0.05000500050005001,Random Forest,7992,1998,0.29869937320485046,0.21112039623700493,0.999599429289408,0.1416149250358098,0.07806911028630613,0.9996611792575137,0.1979522467874595,0.12732738328609722,0.9995073343107845,0.17315148440561876,0.10969092106220128,0.9996297742999262
same_trajectory,10,0.05000500050005001,MLP,7992,1998,0.45719283064930955,0.3716876446045146,0.9990825721298958,0.17504044246134887,0.12898820081663645,0.9994823589122555,0.3767886987982754,0.25638348531141514,0.9982150453626099,0.19083082654006908,0.15549948225668248,0.9995503121148223
same_trajectory,20,0.10001000100010002,Persistence,7984,1996,10.742711853155072,9.431684781885929,0.49609126161142897,4.152494669250976,3.419849524057593,0.7086143745857123,6.192063406169541,4.524361457935311,0.518394627610342,7.734403451833682,6.2598698095993885,0.2612647826382327
same_trajectory,20,0.10001000100010002,Linear Regression,7984,1996,9.126642554229646,8.244485892415938,0.6490643380642299,1.9811314961138011,1.606823978496021,0.9336751065217991,5.464932265626277,4.393837849627278,0.6248628278798467,7.03599585274879,5.943240981149429,0.38865507979104397
same_trajectory,20,0.10001000100010002,Random Forest,7984,1996,0.4042400503225838,0.26210009260562717,0.9992566049255788,0.20601778020678344,0.11399888285105457,0.999282768486678,0.3004925500512993,0.17930213662152497,0.9988658044167746,0.17513115053336997,0.10857869902578297,0.9996212418732836
same_trajectory,20,0.10001000100010002,MLP,7984,1996,0.40077019588022517,0.33517967373646085,0.9993001922457131,0.1490300296718678,0.10973548053862828,0.9996246836085544,0.26530757691780393,0.1942554584854846,0.9991158624422567,0.2608039297861131,0.19689584650028677,0.9991600306863284
same_trajectory,50,0.25002500250025006,Persistence,7960,1990,19.94098737861694,18.76435287995869,-0.7473287026935224,8.297737348998524,7.152280168489123,-0.16320909162237873,10.871170502711184,8.882339480756801,-0.4801724700652352,14.512345931040139,12.508460589710824,-1.598604546392953
same_trajectory,50,0.25002500250025006,Linear Regression,7960,1990,14.367761393345074,13.21181326506891,0.08046635097303538,6.554153340993653,5.367855197750945,0.2742757819356564,9.224926475168315,7.447427034979464,-0.06582409675763223,8.853043147222177,7.409123948577651,0.03294736774108198
same_trajectory,50,0.25002500250025006,Random Forest,7960,1990,0.7445299663282434,0.42073726462461586,0.9975442070678621,0.3240330369648911,0.17276992386283982,0.9982261495492688,0.515842011272884,0.273889560349802,0.9966673237527577,0.4280589692110079,0.2049255916996614,0.9977391479015598
same_trajectory,50,0.25002500250025006,MLP,7960,1990,0.6446030289337917,0.575232100853015,0.9981635086618139,0.2761553818218015,0.219349850312139,0.9987116156436243,0.4352148543653237,0.34749288053336436,0.9976277135527806,0.3870908169167075,0.3065562082236109,0.998151196789037
same_trajectory,100,0.5000500050005001,Persistence,7920,1980,22.123634262255184,20.72899160217959,-1.180628623317843,10.459075948671682,8.742507602642032,-0.8435762218198579,12.40526078909142,10.445930639474758,-0.9179790656644673,15.039030155717484,12.96165214180534,-1.7803305824692037
same_trajectory,100,0.5000500050005001,Linear Regression,7920,1980,15.663408197175873,13.826640311986178,-0.12579466792711436,8.691027276554253,6.938374345675564,-0.2729656673580505,9.981976593725497,7.551572101145186,-0.24183861378583194,8.37666667069083,7.281236266092774,0.13742027736253937
same_trajectory,100,0.5000500050005001,Random Forest,7920,1980,4.328030625755542,1.4615056423161872,0.9163845150461739,2.0055134462997604,0.6227571862209917,0.9322162454184455,3.623486557872659,1.0740455264195818,0.8363615434927332,1.2570242953518873,0.5119175147097734,0.9805757562273427
same_trajectory,100,0.5000500050005001,MLP,7920,1980,2.2368639303409643,1.4099785601752028,0.9781367002936389,0.8912427198373439,0.5132674232118847,0.9866135180921674,1.6422051818344696,0.8267176211785843,0.9663885768300756,1.2298003081611977,0.7779630995017477,0.9814080059586738
