horizon,model,family,RMSE_state,MAE_state,R2_mean,RMSE_x,RMSE_y,RMSE_z,MAE_x,R2_x,MAE_y,R2_y,MAE_z,R2_z
10,baseline-Random Forest,baseline,0.29869937320485046,0.21112039623700493,0.999599429289408,0.1416149250358098,0.1979522467874595,0.17315148440561876,,,,,,
10,baseline-MLP,baseline,0.45719283064930955,0.3716876446045146,0.9990825721298958,0.17504044246134887,0.3767886987982754,0.19083082654006908,,,,,,
10,MLP-direct-scaled-relu-64x64,MLP,0.22265621290560797,0.1973246875851603,0.9997788920725036,0.09971421511203843,0.16265907830121373,0.11478191798474695,0.07601074313594153,0.9998320167085805,0.12556490060874392,0.999667349591593,0.09018507957686635,0.9998373099173374
10,MLP-residual-relu-32x32,MLP,0.17871378166270788,0.15847930508846758,0.9998640914455121,0.046502345805043414,0.12493097060664599,0.11903108910740734,0.03586746894825284,0.9999634656269522,0.09776933258406144,0.9998037671664379,0.09457385543773482,0.999825041543146
10,MLP-residual-relu-64x64,MLP,0.10672735905211776,0.0868195141200185,0.9999509660575386,0.033840997146673685,0.07426489736113724,0.06877674826784295,0.026089600544509893,0.9999806519037635,0.053383930478147934,0.9999306576401888,0.04896304329637408,0.999941588628664
10,MLP-residual-relu-128x128,MLP,0.08284833738574605,0.06598506810220452,0.999970778045799,0.02192558056159345,0.05674247277277793,0.05624417932773167,0.016418924602213628,0.9999918781654213,0.04051006970005066,0.9999595193047611,0.03869823453232201,0.9999609366672148
10,MLP-residual-relu-64x64x64,MLP,0.07720247912301667,0.0683994432639703,0.999974232162636,0.0264022007354197,0.048822933384086234,0.05366067232936526,0.020213412659062024,0.9999882230672915,0.03883313209791822,0.9999700305215422,0.04148291811687239,0.9999644428990742
10,MLP-residual-tanh-64x64,MLP,0.1157659590107305,0.08853226169904907,0.9999434632597083,0.023324198573193615,0.08565153955366685,0.07430715173305334,0.017400277509899323,0.9999908089443305,0.06004013733447822,0.9999077637167872,0.05094543441261918,0.9999318171180074
10,ESN-residual,ESN,0.45664394523237456,0.03886261353023351,0.9991227535330731,0.0725877033947323,0.3825960580791275,0.2384847466308468,0.006181956125309104,0.999910981955817,0.030779506425543585,0.9981595991332314,0.018053725854486516,0.9992976795101711
100,baseline-Random Forest,baseline,4.328030625755542,1.4615056423161872,0.9163845150461739,2.0055134462997604,3.623486557872659,1.2570242953518873,,,,,,
100,baseline-MLP,baseline,2.2368639303409643,1.4099785601752028,0.9781367002936389,0.8912427198373439,1.6422051818344696,1.2298003081611977,,,,,,
100,MLP-direct-scaled-relu-64x64,MLP,2.1201820594244225,1.1989261599154282,0.9808669014247403,0.624997977493568,1.4520563102745114,1.4128276487335978,0.3611809591562187,0.9934168812583891,0.6662723758943936,0.9737215961694815,0.7333186039230396,0.9754622268463503
100,MLP-residual-relu-32x32,MLP,2.2321457362080563,1.5150519478515734,0.9782988817842672,0.8610291453228174,1.6671771511195217,1.2089763212575586,0.5253907480882999,0.9875057506393666,0.9317740684876673,0.9653585896919314,0.8135194053842673,0.9820323050215033
100,MLP-residual-relu-64x64,MLP,1.9363219281740094,1.2193993400084773,0.9840391896599033,0.572314652185374,1.32348168504211,1.2923601579202078,0.35351240994696564,0.9944799349688144,0.6950251153413933,0.9781692861662864,0.7190607735679145,0.9794683478446092
